frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,1.000,1.000,0.1298
1,1,1,1.000,1.000,0.1426
2,1,1,1.000,1.000,0.1580
3,1,1,1.000,1.000,0.1545
4,1,1,1.000,1.000,0.1666
5,1,1,1.000,1.000,0.1645
6,1,1,1.000,1.000,0.1639
7,1,1,1.000,1.000,0.1577
8,1,1,1.000,1.000,0.1547
9,1,1,1.000,1.000,0.1498
10,1,1,1.000,1.000,0.1484
11,1,1,1.000,1.000,0.1527
12,1,1,1.000,1.000,0.1470
13,1,1,1.000,1.000,0.1505
14,1,1,1.000,1.000,0.1474
15,1,1,1.000,1.000,0.1322
16,1,1,1.000,1.000,0.1259
17,1,1,1.000,1.000,0.1055
18,1,1,1.000,1.000,0.1056
19,1,1,1.000,1.000,0.0776
20,1,1,1.000,1.000,0.0711
21,1,1,1.000,1.000,0.0632
22,1,1,1.000,1.000,0.0697
23,1,1,1.000,1.000,0.0361
24,1,1,1.000,1.000,0.0358
25,1,1,1.000,1.000,0.0339
26,1,1,1.000,1.000,0.0473
27,1,1,1.000,1.000,0.0113
28,1,1,1.000,1.000,0.0144
29,1,1,1.000,1.000,0.0221
30,1,1,1.000,1.000,0.0394
31,1,1,1.000,1.000,0.0342
32,1,1,1.000,1.000,0.0273
33,1,1,1.000,1.000,0.0553
34,1,1,1.000,1.000,0.0649
35,1,1,1.000,1.000,0.0731
36,1,1,1.000,1.000,0.0802
37,1,1,1.000,1.000,0.0737
38,1,1,1.000,1.000,0.0637
39,1,1,1.000,1.000,0.0658
40,1,1,1.000,1.000,0.0818
41,1,1,1.000,1.000,0.0718
42,1,1,1.000,1.000,0.0797
43,1,1,1.000,1.000,0.0977
44,1,1,1.000,1.000,0.1137
45,1,1,1.000,1.000,0.1407
46,1,1,1.000,1.000,0.1248
47,1,1,1.000,0.928,0.2037
48,1,1,1.000,0.927,0.1842
49,1,1,1.000,0.942,0.1807
50,1,1,1.000,0.954,0.1843
51,1,1,1.000,0.946,0.1851
52,1,1,1.000,0.957,0.1783
53,1,1,1.000,0.965,0.1803
54,1,1,1.000,0.972,0.1755
55,1,1,1.000,0.978,0.1881
56,1,1,1.000,0.934,0.1854
57,1,1,1.000,0.947,0.2167
58,1,1,1.000,0.958,0.2184
59,1,1,1.000,0.966,0.2161
60,1,1,1.000,0.973,0.2126
61,1,1,1.000,0.960,0.2157
62,1,1,1.000,0.968,0.2192
63,1,1,1.000,0.975,0.2257
64,1,1,1.000,0.980,0.2336
65,1,1,1.000,0.984,0.2324
66,1,1,1.000,0.987,0.2305
